id_hecho,fecha,rol,vehiculo_victima,sexo,edad,fecha_fallecimiento,cantidad_victimas,hora,lugar,tipo_de_calle,comuna,longitud,latitud,vehiculo_acusado
2020-0032,2020-07-10,CONDUCTOR,MOTO,MASCULINO,21.0,2020-07-10,1,23,CORRIENTES AV. Y SERRANO,AVENIDA,15.0,-58.44259166,-34.59635137,AUTO
2020-0033,2020-07-19,CONDUCTOR,AUTO,MASCULINO,32.0,2020-07-19,1,6,"PAZ, GRAL. AV. Y DEL LIBERTADOR AV.",GRAL PAZ,13.0,-58.46743471,-34.53476874,OBJETO FIJO
2020-0034,2020-08-02,PEATON,PEATON,FEMENINO,,2020-08-02,1,3,"MITRE, BARTOLOME Y ANCHORENA, TOMAS MANUEL DE, DR.",CALLE,3.0,-58.41178158,-34.60922259,AUTO
2020-0035,2020-08-04,CONDUCTOR,MOTO,MASCULINO,40.0,2020-08-04,1,5,"AU 25 DE MAYO ALTURA PUMACAHUA Y RECUERO, CASIMIRO, TTE. CNEL.",AUTOPISTA,7.0,-58.45068621,-34.63638927,PASAJEROS
2020-0036,2020-08-07,PEATON,PEATON,MASCULINO,72.0,2020-08-22,1,18,"SCALABRINI ORTIZ, RAUL AV. Y PARAGUAY",AVENIDA,14.0,-58.42016954,-34.58778790,MOTO
2020-0037,2020-08-29,PEATON,PEATON,MASCULINO,38.0,2020-08-29,1,4,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y VARELA AV.",AVENIDA,8.0,-58.43850413,-34.65554754,AUTO
2020-0038,2020-08-30,CONDUCTOR,AUTO,MASCULINO,46.0,2020-08-30,2,4,"LAS HERAS GENERAL AV. Y DIAZ, CNEL. AV.",AVENIDA,14.0,-58.40617526,-34.58345898,AUTO
2020-0038,2020-08-30,CONDUCTOR,AUTO,MASCULINO,64.0,2020-08-30,2,4,"LAS HERAS GENERAL AV. Y DIAZ, CNEL. AV.",AVENIDA,14.0,-58.40617526,-34.58345898,AUTO
2020-0039,2020-09-01,PEATON,PEATON,MASCULINO,44.0,2020-09-01,1,19,MURGUIONDO 2700,CALLE,9.0,.,.,CARGAS
2020-0040,2020-09-12,CONDUCTOR,AUTO,MASCULINO,,2020-09-12,1,3,"CASTILLO, RAMON S., PRES. AV. Y CALLE 12",AVENIDA,2.0,-58.38526125,-34.57805810,OBJETO FIJO
2020-0041,2020-09-28,CONDUCTOR,MOTO,MASCULINO,34.0,2020-09-28,1,1,"CURAPALIGUE Y PERON, EVA AV.",AVENIDA,7.0,-58.44750470,-34.63491705,PASAJEROS
2020-0042,2020-09-29,PEATON,PEATON,FEMENINO,53.0,2020-09-29,1,17,"DIAZ, ANA Y SOLDADO DE LA FRONTERA AV.",AVENIDA,8.0,-58.46745752,-34.68192648,PASAJEROS
2020-0043,2020-09-30,PEATON,PEATON,MASCULINO,64.0,2020-09-30,1,17,"ALEM, LEANDRO N. AV. Y PARAGUAY",AVENIDA,1.0,-58.37202621,-34.59717942,PASAJEROS
2020-0044,2020-10-05,CONDUCTOR,AUTO,MASCULINO,43.0,2020-10-05,1,0,LA PLATA AV. E INDEPENDENCIA,AVENIDA,6.0,-58.42779702,-34.62207347,AUTO
2020-0045,2020-10-19,CONDUCTOR,AUTO,MASCULINO,50.0,2020-10-19,1,3,"PAZ, GRAL. AV. Y 27 DE FEBRERO AV.",GRAL PAZ,8.0,-58.46244952,-34.70524971,CARGAS
2020-0046,2020-10-27,CONDUCTOR,MOTO,MASCULINO,41.0,2020-10-27,1,21,"NAZCA AV. Y CARRANZA, ADOLFO P.",AVENIDA,11.0,-58.48440160,-34.60776782,MOTO
2020-0047,2020-10-27,PEATON,PEATON,MASCULINO,15.0,2020-10-27,1,14,AUTOPISTA CAMPORA ALTURA LACARRA AV.,AUTOPISTA,9.0,-58.46668375,-34.65174801,CARGAS
2020-0048,2020-10-29,CONDUCTOR,MOTO,MASCULINO,41.0,2020-10-29,1,20,DORREGO AV. 614,AVENIDA,15.0,-58.44958780,-34.59322448,OBJETO FIJO
2020-0049,2020-10-30,PEATON,PEATON,MASCULINO,36.0,2020-10-30,1,20,"DEL LIBERTADOR AV. Y RAMOS MEJIA, JOSE MARIA, DR. AV.",AVENIDA,1.0,-58.37533517,-34.59276462,AUTO
2020-0050,2020-11-01,PEATON,PEATON,FEMENINO,28.0,2020-11-01,1,22,SANTA FE AV. Y GODOY CRUZ,AVENIDA,14.0,-58.42525456,-34.57866344,MOTO
2020-0051,2020-11-05,CONDUCTOR,MOTO,MASCULINO,49.0,2020-11-05,1,0,AVELLANEDA AV. Y MERCEDES,AVENIDA,10.0,-58.48493828,-34.62981124,AUTO
2020-0052,2020-11-07,CICLISTA,BICICLETA,MASCULINO,44.0,2020-11-07,1,6,TUCUMAN Y PUEYRREDON AV.,AVENIDA,3.0,-58.40480504,-34.60183884,CARGAS
2020-0053,2020-11-09,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,27.0,2020-11-09,1,3,"ALCORTA, AMANCIO AV. Y EINSTEIN, ALBERTO",AVENIDA,4.0,-58.41125934,-34.65417740,AUTO
2020-0054,2020-11-19,CICLISTA,BICICLETA,MASCULINO,59.0,2020-11-23,1,9,INCLAN Y ALBERTI,CALLE,4.0,-58.39956546,-34.62977080,AUTO
2020-0055,2020-11-19,PEATON,PEATON,MASCULINO,91.0,2020-12-11,1,12,OLAZABAL AV. 5437,AVENIDA,12.0,-58.49005682,-34.57868970,CARGAS
2020-0056,2020-11-21,CONDUCTOR,MOTO,FEMENINO,34.0,2020-11-21,1,13,"PAZ, GRAL. AV. Y DOCTOR RAMON CARRILLO",GRAL PAZ,8.0,-58.47064556,-34.69843756,CARGAS
2020-0057,2020-11-23,PEATON,PEATON,MASCULINO,84.0,2020-11-23,1,7,"NAZCA AV. Y VIALE, LUIS",AVENIDA,11.0,-58.47501560,-34.61945902,AUTO
2020-0058,2020-11-24,PEATON,PEATON,MASCULINO,57.0,2020-11-25,1,16,"OLIVERA AV. Y FALCON, RAMON L., CNEL.",AVENIDA,10.0,-58.48727942,-34.63652467,AUTO
2020-0059,2020-12-01,PEATON,PEATON,FEMENINO,49.0,2020-12-14,1,6,BRASIL 1100,CALLE,1.0,-58.37951690,-34.62794241,PASAJEROS
2020-0060,2020-12-03,PEATON,PEATON,FEMENINO,69.0,2020-12-03,1,20,"HOMERO Y PERON, EVA AV.",AVENIDA,9.0,-58.47750832,-34.65672199,MOTO
2020-0061,2020-12-03,CONDUCTOR,MOTO,MASCULINO,45.0,2020-12-04,1,14,"CANTILO, INT. Y UDAONDO, GUILLERMO AV.",AUTOPISTA,13.0,-58.44927253,-34.54048625,CARGAS
2020-0062,2020-12-04,CICLISTA,BICICLETA,MASCULINO,47.0,2020-12-04,1,17,MORENO 1845,CALLE,3.0,-58.39246272,-34.61253541,PASAJEROS
2020-0063,2020-12-05,PEATON,PEATON,MASCULINO,38.0,2020-12-05,2,7,NUEVA YORK Y ALTA GRACIA,CALLE,11.0,-58.52783814,-34.61047001,MOTO
2020-0063,2020-12-05,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,21.0,2020-12-05,2,7,NUEVA YORK Y ALTA GRACIA,CALLE,11.0,-58.52783814,-34.61047001,MOTO
2020-0065,2020-12-05,CONDUCTOR,MOTO,MASCULINO,24.0,2020-12-06,1,16,"PAZ, GRAL. AV. Y GOYENECHE, ROBERTO PARQUE AV.",GRAL PAZ,12.0,-58.49332664,-34.54836855,AUTO
2020-0066,2020-12-07,CONDUCTOR,MOTO,MASCULINO,27.0,2020-12-07,1,4,AUTOPISTA PERITO MORENO ALTURA ESTACION DE TREN VILLA LURO,AUTOPISTA,10.0,-58.50178784,-34.63593897,OBJETO FIJO
2020-0067,2020-12-11,PEATON,PEATON,MASCULINO,51.0,2020-12-11,1,22,SAENZ AV. Y BEAZLEY,AVENIDA,4.0,-58.41657793,-34.65476216,PASAJEROS
2020-0068,2020-12-12,CONDUCTOR,MOTO,MASCULINO,71.0,2020-12-20,1,20,DEL LIBERTADOR AV. Y AUSTRIA,AVENIDA,2.0,-58.39731474,-34.58307887,AUTO
2020-0069,2020-12-15,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,25.0,2020-12-15,1,5,"INDEPENDENCIA AV. Y SAENZ PEÑA, LUIS, PRES.",AVENIDA,1.0,-58.38746381,-34.61790839,PASAJEROS
2020-0070,2020-12-17,PEATON,PEATON,FEMENINO,81.0,2020-12-22,1,15,"CALLAO AV. Y LAS HERAS, GENERAL",AVENIDA,2.0,-58.39189441,-34.59176378,PASAJEROS
2020-0071,2020-12-17,PEATON,PEATON,MASCULINO,4.0,2020-12-17,1,23,SAN PEDRITO AV. Y DIRECTORIO AV.,AVENIDA,7.0,-58.46749188,-34.63551751,AUTO
2020-0072,2020-12-19,CICLISTA,BICICLETA,MASCULINO,42.0,2020-12-19,1,3,"JUJUY AV. Y CARLOS, CALVO",AVENIDA,3.0,-58.40280471,-34.62113271,AUTO
2020-0073,2020-12-20,CONDUCTOR,MOTO,MASCULINO,56.0,2020-12-20,1,7,27 DE FEBRERO AV. Y ESCALADA AV.,AVENIDA,8.0,-58.44451316,-34.68475866,OBJETO FIJO
2020-0074,2020-12-20,CONDUCTOR,AUTO,MASCULINO,39.0,2020-12-20,1,21,BOGOTA Y NAZCA AV.,AVENIDA,7.0,-58.47110424,-34.62742408,AUTO
2020-0075,2020-12-23,PEATON,PEATON,MASCULINO,23.0,2020-12-23,1,14,CORRIENTES AV. Y 9 DE JULIO AV.,AVENIDA,1.0,-58.38220928,-34.60373898,PASAJEROS
2020-0076,2020-12-24,CONDUCTOR,AUTO,FEMENINO,78.0,2021-01-17,1,12,ALVAREZ JONTE AV. Y CHIVILCOY,AVENIDA,10.0,-58.49794468,-34.61565025,PASAJEROS
2020-0077,2020-12-25,CONDUCTOR,MOTO,FEMENINO,30.0,2020-12-25,2,6,SAN MARTIN AV. Y PUNTA ARENAS,AVENIDA,15.0,-58.47220945,-34.60111373,AUTO
2020-0077,2020-12-25,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,24.0,2020-12-25,2,6,SAN MARTIN AV. Y PUNTA ARENAS,AVENIDA,15.0,-58.47220945,-34.60111373,AUTO
2020-0078,2020-12-25,CICLISTA,BICICLETA,MASCULINO,26.0,2020-12-25,1,5,BARCO CENTENERA DEL 1118,CALLE,7.0,-58.43706741,-34.63217813,PASAJEROS
2020-0079,2020-12-27,CONDUCTOR,MOTO,MASCULINO,28.0,2020-12-27,1,4,"PAZ, GRAL. AV. Y ACCESO NORTE - PANAMERICANA",GRAL PAZ,12.0,-58.49332664,-34.54836855,OBJETO FIJO
2021-0001,2021-01-06,CONDUCTOR,MOTO,MASCULINO,36.0,2021-01-06,1,18,AU FRONDIZI KM. 3,AUTOPISTA,1.0,-58.37960727,-34.62622851,AUTO
2021-0002,2021-01-07,CONDUCTOR,MOTO,FEMENINO,47.0,2021-01-07,1,10,"CASTRO, EMILIO AV. Y MURGUIONDO",AVENIDA,9.0,-58.51061062,-34.64972472,CARGAS
2021-0003,2021-01-10,CONDUCTOR,MOTO,MASCULINO,27.0,2021-01-10,1,7,"AU 25 DE MAYO KM. 3,7",AUTOPISTA,7.0,-58.43052224,-34.62941648,OBJETO FIJO
2021-0004,2021-01-11,PEATON,PEATON,FEMENINO,61.0,2021-01-11,1,9,CASEROS AV. Y GUARANI,AVENIDA,5.0,-58.41455544,-34.63866836,CARGAS
2021-0005,2021-01-11,PEATON,PEATON,MASCULINO,73.0,2021-01-14,1,21,"PERON, EVA AV. 3800",AVENIDA,9.0,-58.46774439,-34.64730145,AUTO
2021-0006,2021-01-12,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,23.0,2021-01-12,1,21,AU ILLIA y SARMIENTO AV.,AUTOPISTA,14.0,-58.40786274,-34.56726817,CARGAS
2021-0007,2021-01-18,CONDUCTOR,MOTO,MASCULINO,84.0,2021-01-26,1,10,DE LOS CONSTITUYENTES AV. Y GIRIBONE,AVENIDA,15.0,-58.48744301,-34.58622275,MOTO
2021-0008,2021-01-22,PEATON,PEATON,MASCULINO,28.0,2021-01-22,1,23,"SAENZ AV. Y RABANAL, FRANCISCO, INTENDENTE AV.",AVENIDA,4.0,-58.41657793,-34.65476216,PASAJEROS
2021-0009,2021-01-23,CONDUCTOR,MOTO,MASCULINO,31.0,2021-01-23,1,5,PAYSANDU Y GAONA,AVENIDA,6.0,-58.45351111,-34.61134937,OBJETO FIJO
2021-0010,2021-01-23,CONDUCTOR,MOTO,MASCULINO,28.0,2021-01-23,1,8,"PAZ, GRAL. AV. Y BALBIN, RICARDO, DR. AV.",GRAL PAZ,12.0,-58.50073810,-34.54979510,AUTO
